# Mass =     1.593820
# [Fe/H]_init  =     0.133103
# ranom =     0.000000
# age         Radius        logL          logg          Teff          [Fe/H]_surf   Radius_0      Teff_0        logg_0        Xc            
    0.04859013    1.49828494    0.77610713    4.28903103 7376.59228516    0.12997250    1.49828494 7376.59228516    4.28903103    0.69706160
    0.04969688    1.49835253    0.77619481    4.28899097 7376.79101562    0.12997250    1.49835253 7376.79101562    4.28899097    0.69681674
    0.05080362    1.49842668    0.77628303    4.28894567 7376.98095703    0.12997250    1.49842668 7376.98095703    4.28894567    0.69657189
    0.05191037    1.49850726    0.77637106    4.28889704 7377.15527344    0.12997252    1.49850726 7377.15527344    4.28889704    0.69632715
    0.05301712    1.49859381    0.77645880    4.28884506 7377.31738281    0.12997250    1.49859381 7377.31738281    4.28884506    0.69608283
    0.05412386    1.49868536    0.77654654    4.28879023 7377.45898438    0.12997250    1.49868536 7377.45898438    4.28879023    0.69583881
    0.05523061    1.49878216    0.77663404    4.28873253 7377.58447266    0.12997250    1.49878216 7377.58447266    4.28873253    0.69559520
    0.05633736    1.49888301    0.77672130    4.28867340 7377.70996094    0.12997250    1.49888301 7377.70996094    4.28867340    0.69535208
    0.05744410    1.49898779    0.77680856    4.28861332 7377.82373047    0.12997250    1.49898779 7377.82373047    4.28861332    0.69510943
    0.05855085    1.49909616    0.77689636    4.28855085 7377.92871094    0.12997250    1.49909616 7377.92871094    4.28855085    0.69486725
    0.05965760    1.49920702    0.77698451    4.28848743 7378.05029297    0.12997250    1.49920702 7378.05029297    4.28848743    0.69462496
    0.06076435    1.49932110    0.77707374    4.28842163 7378.14746094    0.12997250    1.49932110 7378.14746094    4.28842163    0.69438285
    0.06187109    1.49943721    0.77716434    4.28835487 7378.26123047    0.12997250    1.49943721 7378.26123047    4.28835487    0.69414049
    0.06297784    1.49955547    0.77725607    4.28828764 7378.38671875    0.12997250    1.49955547 7378.38671875    4.28828764    0.69389802
    0.06408459    1.49967575    0.77734905    4.28821898 7378.50830078    0.12997250    1.49967575 7378.50830078    4.28821898    0.69365543
