# [Fe/H]_init  =     0.133103
# ranom =     0.000000
# Mass         Radius         logL           logg           Teff           [Fe/H]_surf    Radius_0       Teff_0         logg_0         Age            Xc             
     0.62598926     0.55052793    -1.08193731     4.75279045  4175.94238281     0.12948249     0.55052793  4175.94238281     4.75279045     0.00100000     0.70667267
     0.62667322     0.55106449    -1.08057511     4.75242281  4177.17138672     0.12948273     0.55106449  4177.17138672     4.75242281     0.00100000     0.70668548
     0.62735713     0.55154872    -1.07938480     4.75212717  4178.22167969     0.12948254     0.55154872  4178.22167969     4.75212717     0.00100000     0.70669580
     0.62804103     0.55197996    -1.07837391     4.75190687  4178.99462891     0.12948926     0.55197996  4178.99462891     4.75190687     0.00100000     0.70670921
     0.62872499     0.55238390    -1.07754338     4.75173712  4179.37304688     0.12949385     0.55238390  4179.37304688     4.75173712     0.00100000     0.70672399
     0.62940890     0.55288893    -1.07650912     4.75141668  4179.96728516     0.12950099     0.55288893  4179.96728516     4.75141668     0.00100000     0.70673865
     0.63009286     0.55349976    -1.07518196     4.75092697  4180.85791016     0.12949403     0.55349976  4180.85791016     4.75092697     0.00100000     0.70675582
     0.63077676     0.55416435    -1.07371616     4.75034618  4181.83789062     0.12950002     0.55416435  4181.83789062     4.75034618     0.00100000     0.70677471
     0.63146073     0.55486131    -1.07217860     4.74972105  4182.95849609     0.12950493     0.55486131  4182.95849609     4.74972105     0.00100000     0.70680141
     0.63214463     0.55559635    -1.07054973     4.74904537  4184.11376953     0.12949918     0.55559635  4184.11376953     4.74904537     0.00100000     0.70683479
     0.63282853     0.55638605    -1.06879103     4.74828768  4185.35888672     0.12949961     0.55638605  4185.35888672     4.74828768     0.00100000     0.70686466
     0.63351250     0.55720121    -1.06696606     4.74748373  4186.70117188     0.12949990     0.55720121  4186.70117188     4.74748373     0.00100000     0.70690781
     0.63419640     0.55803871    -1.06510901     4.74664593  4188.02978516     0.12949947     0.55803871  4188.02978516     4.74664593     0.00100000     0.70694703
     0.63488036     0.55889469    -1.06323862     4.74579430  4189.35644531     0.12949228     0.55889469  4189.35644531     4.74579430     0.00100000     0.70698535
     0.63556427     0.55975854    -1.06139505     4.74492931  4190.60791016     0.12948872     0.55975854  4190.60791016     4.74492931     0.00100000     0.70703304
     0.63624817     0.56063223    -1.05956519     4.74403763  4191.74462891     0.12948675     0.56063223  4191.74462891     4.74403763     0.00100000     0.70707762
     0.63693213     0.56152195    -1.05775964     4.74312449  4192.73876953     0.12948684     0.56152195  4192.73876953     4.74312449     0.00100000     0.70712954
     0.63761604     0.56244624    -1.05599189     4.74217081  4193.57910156     0.12947981     0.56244624  4193.57910156     4.74217081     0.00100000     0.70717365
     0.63830000     0.56338084    -1.05425560     4.74119520  4194.29248047     0.12947300     0.56338084  4194.29248047     4.74119520     0.00100000     0.70721108
     0.63898391     0.56430906    -1.05254090     4.74024296  4194.99023438     0.12946305     0.56430906  4194.99023438     4.74024296     0.00100000     0.70722628
     0.63966781     0.56518227    -1.05083203     4.73936462  4195.93945312     0.12946591     0.56518227  4195.93945312     4.73936462     0.00100000     0.70723826
     0.64035177     0.56600189    -1.04911447     4.73857307  4197.00830078     0.12945609     0.56600189  4197.00830078     4.73857307     0.00100000     0.70723313
     0.64103568     0.56678015    -1.04738891     4.73785639  4198.33105469     0.12945829     0.56678015  4198.33105469     4.73785639     0.00100000     0.70722449
     0.64171964     0.56750894    -1.04565060     4.73720694  4199.83154297     0.12945484     0.56750894  4199.83154297     4.73720694     0.00100000     0.70721132
     0.64240354     0.56820178    -1.04390728     4.73661423  4201.50146484     0.12945539     0.56820178  4201.50146484     4.73661423     0.00100000     0.70720381
     0.64308745     0.56885958    -1.04215860     4.73607349  4203.31445312     0.12945578     0.56885958  4203.31445312     4.73607349     0.00100000     0.70719904
     0.64377141     0.56948334    -1.04040194     4.73557901  4205.25097656     0.12945317     0.56948334  4205.25097656     4.73557901     0.00100000     0.70718843
     0.64445531     0.57008636    -1.03864396     4.73512411  4207.33837891     0.12946117     0.57008636  4207.33837891     4.73512411     0.00100000     0.70718199
     0.64513928     0.57066405    -1.03688562     4.73471069  4209.39697266     0.12946127     0.57066405  4209.39697266     4.73471069     0.00100000     0.70716971
     0.64582318     0.57121348    -1.03513288     4.73433685  4211.67382812     0.12947033     0.57121348  4211.67382812     4.73433685     0.00100000     0.70716214
     0.64650708     0.57174885    -1.03338611     4.73398447  4213.94287109     0.12947051     0.57174885  4213.94287109     4.73398447     0.00100000     0.70714706
     0.64719105     0.57227552    -1.03165758     4.73364639  4216.18505859     0.12947968     0.57227552  4216.18505859     4.73364639     0.00100000     0.70713019
     0.64787495     0.57279867    -1.02993906     4.73331833  4218.42626953     0.12948413     0.57279867  4218.42626953     4.73331833     0.00100000     0.70711625
     0.64855891     0.57331860    -1.02822256     4.73298264  4220.66357422     0.12949520     0.57331860  4220.66357422     4.73298264     0.00100000     0.70709401
     0.64924282     0.57384115    -1.02650642     4.73264837  4222.93505859     0.12949507     0.57384115  4222.93505859     4.73264837     0.00100000     0.70706969
