# Age =     0.037774
# [Fe/H]_init  =     0.133103
# ranom =     0.000000
# Mass         Radius         logL           logg           Teff           [Fe/H]_surf    Radius_0       Teff_0         logg_0         Xc             
     0.62872499     0.55275822    -1.07888126     4.75113249  4174.77343750     0.12933443     0.55275822  4174.77343750     4.75113249     0.70620835
     0.62940890     0.55347419    -1.07716489     4.75047493  4176.14160156     0.12934159     0.55347419  4176.14160156     4.75047493     0.70622820
     0.63009286     0.55423236    -1.07538402     4.74976826  4177.59326172     0.12934057     0.55423236  4177.59326172     4.74976826     0.70625430
     0.63077676     0.55500454    -1.07356226     4.74902725  4179.05664062     0.12934190     0.55500454  4179.05664062     4.74902725     0.70629013
     0.63146073     0.55579108    -1.07172966     4.74826431  4180.50683594     0.12934178     0.55579108  4180.50683594     4.74826431     0.70632124
     0.63214463     0.55659664    -1.06988502     4.74748611  4181.93212891     0.12933531     0.55659664  4181.93212891     4.74748611     0.70635402
     0.63282853     0.55741292    -1.06805670     4.74668646  4183.28906250     0.12933399     0.55741292  4183.28906250     4.74668646     0.70639855
     0.63351250     0.55824602    -1.06623793     4.74585485  4184.53662109     0.12933232     0.55824602  4184.53662109     4.74585485     0.70644027
     0.63419640     0.55909705    -1.06443501     4.74499273  4185.67138672     0.12933630     0.55909705  4185.67138672     4.74499273     0.70648861
     0.63488036     0.55999094    -1.06266141     4.74408627  4186.60205078     0.12932953     0.55999094  4186.60205078     4.74408627     0.70653832
     0.63556427     0.56091177    -1.06092846     4.74312639  4187.35595703     0.12932253     0.56091177  4187.35595703     4.74312639     0.70658129
     0.63624817     0.56185782    -1.05922782     4.74213743  4187.91259766     0.12931444     0.56185782  4187.91259766     4.74213743     0.70660901
     0.63693213     0.56278759    -1.05754066     4.74117136  4188.56103516     0.12931181     0.56278759  4188.56103516     4.74117136     0.70662457
     0.63761604     0.56368846    -1.05584884     4.74025774  4189.29199219     0.12930870     0.56368846  4189.29199219     4.74025774     0.70661467
     0.63830000     0.56454057    -1.05413568     4.73941088  4190.31347656     0.12930405     0.56454057  4190.31347656     4.73941088     0.70659792
