# Age =     0.033074
# [Fe/H]_init  =     0.133103
# ranom =     0.000000
# Mass         Radius         logL           logg           Teff           [Fe/H]_surf    Radius_0       Teff_0         logg_0         Xc             
     0.62872499     0.55266619    -1.07889485     4.75127649  4175.08935547     0.12936212     0.55266619  4175.08935547     4.75127649     0.70627153
     0.62940890     0.55337799    -1.07720816     4.75063515  4176.45361328     0.12935795     0.55337799  4176.45361328     4.75063515     0.70629752
     0.63009286     0.55412102    -1.07544827     4.74994040  4177.82714844     0.12936221     0.55412102  4177.82714844     4.74994040     0.70631993
     0.63077676     0.55488539    -1.07365608     4.74921513  4179.27929688     0.12936226     0.55488539  4179.27929688     4.74921513     0.70635337
     0.63146073     0.55567223    -1.07182336     4.74845076  4180.69970703     0.12936275     0.55567223  4180.69970703     4.74845076     0.70638585
     0.63214463     0.55647796    -1.06997561     4.74766684  4182.13671875     0.12935430     0.55647796  4182.13671875     4.74766684     0.70641565
     0.63282853     0.55728859    -1.06813490     4.74686527  4183.51416016     0.12935504     0.55728859  4183.51416016     4.74686527     0.70645940
     0.63351250     0.55812335    -1.06630981     4.74604559  4184.77978516     0.12935598     0.55812335  4184.77978516     4.74604559     0.70650017
     0.63419640     0.55897725    -1.06450117     4.74519205  4185.98388672     0.12935458     0.55897725  4185.98388672     4.74519205     0.70654488
     0.63488036     0.55985737    -1.06271279     4.74430180  4187.02978516     0.12934701     0.55985737  4187.02978516     4.74430180     0.70659435
     0.63556427     0.56077075    -1.06095719     4.74335432  4187.82031250     0.12934765     0.56077075  4187.82031250     4.74335432     0.70663840
     0.63624817     0.56170905    -1.05924523     4.74236488  4188.45947266     0.12934209     0.56170905  4188.45947266     4.74236488     0.70668489
     0.63693213     0.56265473    -1.05755281     4.74138021  4189.05761719     0.12933774     0.56265473  4189.05761719     4.74138021     0.70670122
     0.63761604     0.56356740    -1.05586183     4.74044323  4189.70605469     0.12932663     0.56356740  4189.70605469     4.74044323     0.70669466
     0.63830000     0.56443566    -1.05415976     4.73957634  4190.61474609     0.12932359     0.56443566  4190.61474609     4.73957634     0.70668167
     0.63898391     0.56526303    -1.05243599     4.73877239  4191.72851562     0.12931857     0.56526303  4191.72851562     4.73877239     0.70666414
     0.63966781     0.56605524    -1.05070627     4.73802185  4192.96679688     0.12931310     0.56605524  4192.96679688     4.73802185     0.70664179
     0.64035177     0.56681895    -1.04897094     4.73731947  4194.31347656     0.12930693     0.56681895  4194.31347656     4.73731947     0.70662022
     0.64103568     0.56755835    -1.04722929     4.73666000  4195.80566406     0.12930340     0.56755835  4195.80566406     4.73666000     0.70660245
     0.64171964     0.56827176    -1.04548538     4.73603773  4197.40673828     0.12930153     0.56827176  4197.40673828     4.73603773     0.70658839
     0.64240354     0.56896204    -1.04374182     4.73544836  4199.07080078     0.12930021     0.56896204  4199.07080078     4.73544836     0.70657736
     0.64308745     0.56962961    -1.04199624     4.73489141  4200.83251953     0.12930097     0.56962961  4200.83251953     4.73489141     0.70657045
     0.64377141     0.57028133    -1.04024506     4.73436260  4202.69873047     0.12930378     0.57028133  4202.69873047     4.73436260     0.70656639
     0.64445531     0.57091916    -1.03849101     4.73386145  4204.61376953     0.12930661     0.57091916  4204.61376953     4.73386145     0.70656478
     0.64513928     0.57153314    -1.03673851     4.73339081  4206.63183594     0.12931018     0.57153314  4206.63183594     4.73339081     0.70656699
     0.64582318     0.57213145    -1.03498137     4.73294687  4208.60937500     0.12931158     0.57213145  4208.60937500     4.73294687     0.70656633
     0.64650708     0.57271487    -1.03321111     4.73252249  4210.79052734     0.12931484     0.57271487  4210.79052734     4.73252249     0.70656604
     0.64719105     0.57327551    -1.03144884     4.73212814  4213.00830078     0.12931632     0.57327551  4213.00830078     4.73212814     0.70657063
     0.64787495     0.57383162    -1.02968538     4.73174429  4215.27539062     0.12932670     0.57383162  4215.27539062     4.73174429     0.70656890
     0.64855891     0.57437992    -1.02792764     4.73137712  4217.48828125     0.12933293     0.57437992  4217.48828125     4.73137712     0.70656300
     0.64924282     0.57492036    -1.02618003     4.73101854  4219.75781250     0.12933797     0.57492036  4219.75781250     4.73101854     0.70655817
     0.64992672     0.57546037    -1.02444732     4.73066092  4221.96630859     0.12934481     0.57546037  4221.96630859     4.73066092     0.70655048
     0.65061069     0.57600123    -1.02272320     4.73029709  4224.19189453     0.12935014     0.57600123  4224.19189453     4.73029709     0.70654255
     0.65129459     0.57654601    -1.02099478     4.72993231  4226.38134766     0.12935403     0.57654601  4226.38134766     4.72993231     0.70653218
     0.65197855     0.57709754    -1.01926494     4.72955561  4228.61865234     0.12936559     0.57709754  4228.61865234     4.72955561     0.70651978
     0.65266246     0.57766193    -1.01753962     4.72916603  4230.71777344     0.12936576     0.57766193  4230.71777344     4.72916603     0.70650667
     0.65334636     0.57821649    -1.01582336     4.72878122  4232.82714844     0.12936889     0.57821649  4232.82714844     4.72878122     0.70649290
     0.65403032     0.57878071    -1.01412737     4.72838926  4234.97949219     0.12937348     0.57878071  4234.97949219     4.72838926     0.70648032
     0.65471423     0.57934475    -1.01242745     4.72799158  4237.00732422     0.12937981     0.57934475  4237.00732422     4.72799158     0.70646971
     0.65539819     0.57993495    -1.01067615     4.72755766  4239.10595703     0.12938370     0.57993495  4239.10595703     4.72755766     0.70646214
     0.65608209     0.58054686    -1.00891483     4.72709894  4241.15673828     0.12938611     0.58054686  4241.15673828     4.72709894     0.70645320
     0.65676600     0.58121043    -1.00699818     4.72655249  4243.42041016     0.12938753     0.58121043  4243.42041016     4.72655249     0.70645082
     0.65744996     0.58188498    -1.00510645     4.72599745  4245.58984375     0.12938891     0.58188498  4245.58984375     4.72599745     0.70644528
     0.65813386     0.58259606    -1.00315547     4.72538233  4247.76025391     0.12939268     0.58259606  4247.76025391     4.72538233     0.70644778
     0.65881783     0.58331054    -1.00122976     4.72477055  4249.86181641     0.12939753     0.58331054  4249.86181641     4.72477055     0.70643961
     0.65950173     0.58401781    -0.99933290     4.72415972  4251.92968750     0.12939867     0.58401781  4251.92968750     4.72415972     0.70644403
     0.66018564     0.58473003    -0.99746484     4.72355604  4253.85791016     0.12939751     0.58473003  4253.85791016     4.72355604     0.70644200
     0.66086960     0.58543932    -0.99561357     4.72294426  4255.80126953     0.12940016     0.58543932  4255.80126953     4.72294426     0.70644170
     0.66155350     0.58614975    -0.99378574     4.72234011  4257.71533203     0.12939961     0.58614975  4257.71533203     4.72234011     0.70644236
     0.66223747     0.58685410    -0.99198121     4.72174215  4259.60449219     0.12939906     0.58685410  4259.60449219     4.72174215     0.70644021
     0.66292137     0.58755291    -0.99019164     4.72115135  4261.45654297     0.12939875     0.58755291  4261.45654297     4.72115135     0.70643735
     0.66360527     0.58824831    -0.98841268     4.72056627  4263.25390625     0.12939778     0.58824831  4263.25390625     4.72056627     0.70643473
     0.66428924     0.58894247    -0.98664761     4.71998835  4265.05175781     0.12939782     0.58894247  4265.05175781     4.71998835     0.70643365
     0.66497314     0.58963621    -0.98489434     4.71941185  4266.86914062     0.12939915     0.58963621  4266.86914062     4.71941185     0.70643473
     0.66565710     0.59032923    -0.98314685     4.71883917  4268.68457031     0.12940039     0.59032923  4268.68457031     4.71883917     0.70643544
     0.66634101     0.59102142    -0.98140150     4.71826839  4270.47998047     0.12940091     0.59102142  4270.47998047     4.71826839     0.70643532
     0.66702497     0.59171343    -0.97965592     4.71769667  4272.27392578     0.12940075     0.59171343  4272.27392578     4.71769667     0.70643449
     0.66770887     0.59240615    -0.97790849     4.71712685  4274.07324219     0.12940034     0.59240615  4274.07324219     4.71712685     0.70643288
